Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A451630,OWNER SUR,01/28/2024,OSCAR,OTHER,6 YEARS,SMALL,BROWN,TURTLE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A451630&location=MONT,
A439979,OWNER SUR,01/28/2024,FRANKLIN,OTHER,10 YEARS,MED,RED,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439979&location=MONT,
A419972,OWNER SUR,02/01/2024,CHEYENNE,DOG,8 YEARS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A419972&location=MONT,
A445434,FOSTER,01/19/2024,BABY SMOKE,DOG,5 YEARS,SMALL,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A445434&location=MONT,
A507522,OWNER SUR,02/05/2024,*RITA,DOG,2 YEARS,MED,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A507522&location=MONT,
A444157,OWNER SUR,01/28/2024,YERTLE,OTHER,7 YEARS,SMALL,GREEN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A444157&location=MONT,
A514980,OWNER SUR,01/19/2024,*SPICY POTATO,CAT,3 YEARS,MED,TORTIE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514980&location=MONT,
A513554,EUTH REQ,12/08/2023,NOVA,DOG,2 YEARS,MED,TAN / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513554&location=MONT,
A439968,OWNER SUR,01/28/2024,SHELLDON,OTHER,10 YEARS,SMALL,BROWN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439968&location=MONT,
A510810,FOSTER,02/12/2024,DESTINY,DOG,6 YEARS,LARGE,BROWN / BRINDLE,GERM SHEPHERD / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A510810&location=MONT,
A514894,OWNER SUR,01/17/2024,*CHEESY GORDITA CRUNCH,CAT,3 YEARS,MED,ORANGE TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514894&location=MONT,
A513497,BOARDING,12/06/2023,BUDDY,DOG,6 YEARS,LARGE,WHITE,AMERICAN STAFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513497&location=MONT,
A514757,OWNER SUR,01/13/2024,VIVI,OTHER,5 YEARS,SMALL,BROWN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514757&location=MONT,
A503173,OWNER SUR,02/23/2024,*ROBIN,DOG,4 YEARS,MED,WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A503173&location=MONT,
A476277,OWNER SUR,02/06/2024,ARABELLA,DOG,3 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A476277&location=MONT,
A516369,OWNER SUR,02/28/2024,*GONZO,OTHER,1 YEAR 10 MONTHS,MED,WHITE / TRICOLOR,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516369&location=MONT,
A513682,FOSTER,02/27/2024,*KASE,DOG,3 YEARS,MED,WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513682&location=MONT,
A481203,OWNER SUR,02/10/2024,*SE�ORITA OREO,OTHER,3 YEARS,SMALL,WHITE / BLACK,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481203&location=MONT,
A515105,BOARDING,01/23/2024,MISHKA,CAT,13 YEARS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515105&location=MONT,
A515104,BOARDING,01/23/2024,CHARLIE,CAT,6 YEARS,MED,GRAY,RUSSIAN BLUE / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515104&location=MONT,
A516422,OWNER SUR,02/29/2024,WAFFLES,OTHER,4 YEARS,SMALL,TRICOLOR,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516422&location=MONT,
A515462,OWNER SUR,02/01/2024,SNOW,OTHER,11 MONTHS,MED,WHITE / BLACK,DWARF HOTOT,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515462&location=MONT,
